id,price,moonRank,💎 score (%),storeURL,Background,Balloon,Body,Face,Head,Special
1229,6.66,2087,64.6,https://magiceden.io/item-details/DkkxWwPHr4Uhvq3zcXS5fCEDHxxuUBWxz14j3tUGL7ZT,Rose Pink,Pink,Purple Town Coat,Beard,Horns,
1279,6,1385,76.82,https://magiceden.io/item-details/25YcS4UgkPVWQv2CG5frwLXAfMLPpjHsDxutHantcNaR,Pale Lavender,Confetti,Purple Town Coat,Mask,Toilet Paper,
1282,5,1312,87.4,https://magiceden.io/item-details/4EdZHFoCobUM8ui1f9xKYnestZfxFCbqbzKFvsXtz7Cr,Pale Lavender,Confetti,Navy Blue Sweater,3D Glasses,Fox,
1312,5.5,3942,61.36,https://magiceden.io/item-details/AigHaMfCA4mwsCACgPtmqA6N4uaRm4QvygQyS1Zd9nem,Nyanza,Rainbow,Starship Suit,Monocle,None,
1458,5,1261,87.81,https://magiceden.io/item-details/C7Vtp39JzhNG7fSWqrThCpK4z1FfiUcg9QRKPgQdMLn5,Papaya Whip,Red,Beige Tech Fleece,Mushrooms,Elf Hat,
1530,6,2835,65.22,https://magiceden.io/item-details/xW3g1KmPgpg68apmuiziMDEyT4LWpzQ3Vx5AwTt14kQ,Blue,Gold,Purple Puffer Jacket,Cigarette,Crocodile,
1542,6,2787,65.6,https://magiceden.io/item-details/8eaKAsWbA5xEvojHUSUaso3yG9JR3xHTeGfqiYS7PT3o,Light Cyan,Yellow,Purple Town Coat,Cool,Fox,
1573,6.2,1638,72.8,https://magiceden.io/item-details/6MxQnHeAWoiKpxtXqh8UBUor4A9WFSFSoaD7sUpzJHJz,Aero Blue,Green,Dark Grey Suit,Mask,Sushi,
1582,4.94,3020,74.34,https://magiceden.io/item-details/GrDpdUi8mxoGjy9TkPmbvWjxcYgPpDbHn4tH5bRChD9Q,Blue,Purple,Multicoloured Tech Fleece,Cloudy,Dreads,
1613,5.75,3118,65.46,https://magiceden.io/item-details/3XtGbic37YYES8Ay1vfUrkAqfEpJJcHimcWMnUzVMCkN,Purple,Blue,Brown Collared Shirt,Mask,Horns,
1665,6.9,4269,44.75,https://magiceden.io/item-details/CoQkC4KZy8ukps9ztE8QoUuqjiE7GAuB6j8VAPJVCKH,Blue,Purple,Brown Overalls,Mustache,None,
1689,6,2580,67.26,https://magiceden.io/item-details/DjGdJ4kWZvRiAtPgBqd2mQe4WhgmzJx4dLvj35VRNjoZ,Pink,Blue,Short Sleeved Blue Button Shirt,Stressed,Crocodile,
1755,111,566,0,https://solanart.io/search/?token=w1VSu5nVVsTsUXT8ckpH9VsuTuUJtCT2yp5AfYr6Ei4,Purple,Confetti,Striped Sweater With Buttons,Cool,Ice Cream,
1867,4.85,2658,78.14,https://magiceden.io/item-details/CNJcMqNqGSzhZT4huzW6sZcs5ooNZvW8ubF4TGzjUkXy,Aero Blue,Purple,Puffer Vest,Star,Mushrooms,
1917,5,2740,75.98,https://magiceden.io/item-details/ATJSzJquoBgsJjbEuWeobRGxULRNR6mPkaYEmcoPSxrM,Pale Lavender,Yellow,Beige Tech Fleece,Cloudy,Boot,
1932,6.8,1992,63.96,https://magiceden.io/item-details/8DSC3xHj7p5BtXg5NXuysYcxwazMEnmJzSkyYs5dJq8z,Dark Blue,Purple,Hoodie,Clout Goggles,Boot,
1937,5.5,737,87,https://magiceden.io/item-details/7jBex9i8CvLCoZ2csgVneV2nfKjakFtc51y4TTVVUNdD,Rose Pink,Confetti,Tan Brown Blazer Jacket,Stressed,Boot,
1953,6,2131,70.85,https://magiceden.io/item-details/85tXD4hJSqSZYeCfrpZVVv1aJsjpYpXYgZawdj666USG,Dark Blue,Green,Pirate Costume,Cloudy,Cap,
1963,5.6,1816,77.37,https://magiceden.io/item-details/5ExapAnyZoBXEJkACguaCCe7WLVP1b4hUmLDw2Y9P23J,Purple,Confetti,Tan Brown Blazer Jacket,Mask,Beret,
1984,4.99,2677,76.58,https://magiceden.io/item-details/6xKcwttB9rZQfQAtKDQ9n9xtz8y4vGYigKtnmC9oSB7J,Light Cyan,Blue,Puffer Vest,Thug Life,Brown Hair,
2007,5,1680,84.46,https://magiceden.io/item-details/7bjCTim7P3C7i71ciqUjABeZS81auUvzDER2xC1feQzo,Pink,Red,Brown Suspenders,Mask,Pig,
2013,5.5,2267,74.76,https://magiceden.io/item-details/FNcybznPdvkSrRmZt2hGZhioq8PT2zanJ1txXefU7jYL,Papaya Whip,Yellow,Pink Blazer Jacket and Blue Turtleneck,Mustache,Mushrooms,
2034,6,2600,67.1,https://magiceden.io/item-details/GPRd46iTmE8SXGywzNsU6zFysQLgiBfKdHFHq9bXnyPK,Pink,Pink,Hoodie,Mask,Ice Cream,
2039,4.85,2543,79.06,https://magiceden.io/item-details/7HbVdRVgvvVhHUfQrde4LbA1t7khwSbUnEnuEVqnPhRj,Light Cyan,Purple,Dark Grey Suit,Embarrassed,Brown Hair,
2043,6.5,3085,58.22,https://magiceden.io/item-details/13fc72amh9U2M4R9oCZhFXLsyWi3jHJKi9qyJabLmMQm,Pale Lavender,Pink,Brown Suspenders,Beard,Bucket Hat,
2072,5.9,2406,69.65,https://magiceden.io/item-details/EhZqMU6jjSN6pfnu2riKwKMYNSS9J4PG3zCUTxzJd72Y,Papaya Whip,Gold,Brown Suspenders,Dizzy,Brown Hair,
2079,8.99,4432,22.54,https://solanart.io/search/?token=227RFyi84KYeNczXqnGvvHK1SgxouNtqKJXyH6dwrWpD,Blue,Purple,Brown Overalls,Cloudy,None,
2084,5.49,2946,69.43,https://magiceden.io/item-details/GARrTK9sehqGFLM6mT65DSD2zCeHaqsPxaj56gCkkW8j,Pink,Purple,Dark Grey Suit,Star,Bucket Hat,
2148,5.9,2408,69.64,https://magiceden.io/item-details/2YAg87xXsB3Bv8c2y35nmXNgsbnRzRgg1bTEmX92CGq4,Aero Blue,Green,Black Suspenders,Beard,Cone,
2312,6,2974,64.11,https://magiceden.io/item-details/9gkSGwhANEcJQ4fRz1eQzN2SWWHrn36NVLgmHgFmg3iW,Rose Pink,Red,Short Sleeved Pink Button Shirt,Mask,Vampire Hair,
2408,6.58867,1336,71.33,https://magiceden.io/item-details/AYSQhjj28SnYKyTrc6kzUfiknwsDp8Bbdm6n83U5gWh4,Purple,Green,Starship Suit,Stressed,Rockstar,
2441,6,1790,73.58,https://magiceden.io/item-details/JAcqrHaJbbGVThEnwM5W5kLBFCdCswck6bWPgWQT7sp,Rose Pink,Purple,Hoodie,Angry,Elf Hat,
2508,6.5,1258,72.84,https://magiceden.io/item-details/6NbvVKYpkAwYHZm6MTMYdMNE7MtGz34xpH6qmuEpHKTS,Papaya Whip,Red,Black Robe,Mushrooms,French Fries,
2520,4.848,4214,65.71,https://magiceden.io/item-details/FqeTucuKwQF6fCDuZcW9aMVWLMft21dX9NbWWb6yQ2WK,Aero Blue,Pink,Turtle Neck Sweater,Embarrassed,None,
2546,5.5,2645,71.74,https://magiceden.io/item-details/4B3bqGbqFCWDYErjyNpVHqmV7iuYq62b1be8XU2VRLfU,Rose Pink,Yellow,Yellow Utility Jacket,Dead,Mushrooms,
2792,4.848,2047,83.04,https://magiceden.io/item-details/6qWwdEFtUxscjyt3rPGuSTgoaDhLAJh1bCiGvYwMqQp8,Dark Blue,Pink,Turtle Neck Sweater,Cloudy,Ice Cream,
2862,6.8,4464,44.19,https://magiceden.io/item-details/CeCHNCit9sQub4hiS9kC8viyRMCXcAGEjg66hHTmSB31,Light Cyan,Yellow,Black Robe,Glitch,None,
2869,6.5,4682,45.44,https://magiceden.io/item-details/9sbhnhPyCJxXRpuTGx7DhkfqRrRjQRZWrWBXpB4AkdyA,Rose Pink,Green,Puffer Vest,Cyborg,None,
2874,5,4916,58.57,https://magiceden.io/item-details/AyMZKWggSvhLv43YZ6Hu9PHSGVdciPfUGAr5G9xArU1Y,Pale Lavender,Blue,Brown Suspenders,Gas Mask,None,
2933,6.9,4517,42.76,https://magiceden.io/item-details/3JVRiTWRSM6zeb5pHXVSXaAPVN3mKfTid3FD5ZJf7sQj,Blue,Pink,Beige Tech Fleece,Cyborg,None,
2935,6,4592,51.16,https://magiceden.io/item-details/87kWwBegYfzmP9ZEinbFjAF9xUSP6TWu4d5XgPCvAUCi,Dark Blue,Orange,Sleeveless Denim Button Shirt,Cyborg,None,
2990,4.79,4691,62.47,https://magiceden.io/item-details/AE2kksGrUCtzXpi2RNcFMTNVLkvP32WcWHJxhwmBizny,Nyanza,Purple,Sleeveless Denim Button Shirt,Cyborg,None,
2994,6.9,4764,40.79,https://magiceden.io/item-details/9kyt48pVBXxaxQjbEABcVo6cNrAhSTvdYtYP2dr1Ku6s,Rose Pink,Pink,Black Overalls,VR,None,
3013,5.79,4685,52.52,https://magiceden.io/item-details/7nPAcwKRXg4qZvJRRcEHu7g8LgwVmh1THTtk2Ff881ft,Pink,Green,Navy Blue Sweater,Cyborg,None,
3029,4.85,4907,60.14,https://magiceden.io/item-details/4w432KCPGboqjdVdijELW1VnXekrsWKBSCHzrMtqxhF4,Nyanza,Blue,Purple Puffer Jacket,Cyborg,None,
3078,5.5,4563,56.4,https://magiceden.io/item-details/5jemY3xmu1rwKxLAehKb2LphNvhQT4qxKkHD1oYmVXta,Blue,Red,Short Sleeved Pink Button Shirt,Cyborg,None,
3084,25,4433,0,https://solanart.io/search/?token=6PUTpfRESfxVCnMtVBBiBsjmUNCPuQVFzFgFfgHXAQep,Aero Blue,Blue,Black Tunic,Glitch,None,
3106,5.4,4827,55.28,https://magiceden.io/item-details/2HYX5MzucJ4dboCrtHk2oU3vhjFNxNfNjAuSXYesW7t3,Light Cyan,Orange,Multicoloured Tech Fleece,Gas Mask,None,
3125,5,4756,59.85,https://magiceden.io/item-details/9czxTUz5iHYgJnn3JH2Ry1taHSdaZnnJMHFWxX8oLUvw,Pale Lavender,Red,Puffer Vest,Glitch,None,
3128,6,4606,51.05,https://magiceden.io/item-details/4cBjD5fPNiQuhyBEy6ThMTHNSKKx7Wkgq3XoHx5vf3zT,Pink,Blue,Black Suspenders,Cyborg,None,
3149,5,4689,60.39,https://magiceden.io/item-details/3zqevv2dgSfJ7ufMXkwYk3EDxbBNj8wukGkwuRazpUy2,Rose Pink,Green,Turtle Neck Sweater,Glitch,None,
3164,4.85,4628,62.38,https://magiceden.io/item-details/8rJ15axBDGJd9sxtT1eykmCUKkz5fHgX9vhKGHJYVEEX,Papaya Whip,Green,Striped Sweater With Buttons,Gas Mask,None,
3239,50,4223,0,https://solanart.io/search/?token=Eo71WrEtqa7qipdiNbBLPesg1nMeYPGe8gnQgk8Xj8td,Light Cyan,Yellow,Vampire Costume,Gas Mask,None,
3292,6.42,4797,45.32,https://magiceden.io/item-details/HAdxxRTN1fFY7mi8P512YKgDZRv4UW1oCKwoRRz61L7o,Pink,Pink,Black Kimono,Gas Mask,None,
3312,4.97,4469,62.45,https://magiceden.io/item-details/hiZj9pEAphB927M5QZWv3Zckto3fqQwtbD7v9wv2AaX,Dark Blue,Blue,Striped Sweater With Buttons,VR,None,
3320,6.9,4538,42.6,https://magiceden.io/item-details/Dw8RoSdU8pxDDDArpdkczYJEccV3muMjRvbVnpjZThXJ,Rose Pink,Yellow,Brown Leather Jacket,Gas Mask,None,
3394,4.85,4646,62.23,https://magiceden.io/item-details/EVE1rgBGVjc6im1N3NKhveTL4LxjHF5oLEcurczh67J,Purple,Purple,Multicolor Peacoat,Gas Mask,None,
3399,5.8,4676,52.49,https://magiceden.io/item-details/AZTRTNqS3ZU7t8wBq5chYcomFn4tGs1CACRmZ45YpPpD,Nyanza,Yellow,Black Robe,Gas Mask,None,
3495,6.369,4740,46.29,https://magiceden.io/item-details/BKUBqMuSrptn4FbGbsejhjgrxvkAsiye4cBBcviWW4St,Purple,Yellow,Blue Denim Jacket,VR,None,
3498,5,4919,58.55,https://magiceden.io/item-details/4Tg8suP5GHjmt2zLfv5CqQPV2KBTWQyD9Xt7TwGYNQid,Dark Blue,Red,Tan Brown Blazer Jacket,Gas Mask,None,
3500,6,143,86.76,https://magiceden.io/item-details/BQNjM7tXVrgnn2nVyFWAcKw6ztDso3QeTy1RCk6UE77q,Aero Blue,Yellow,Grey Button Shirt,Wink,Blue Hair,
3583,6,1497,75.92,https://magiceden.io/item-details/AgMFAxDGDoHeW6V6N4Uc4pFyfsFBiA4Gmfiw1q5v4s9R,Aero Blue,Gold,Purple Blouse,Cat Eye Sunglasses,Red Hair,
3615,5,1449,86.31,https://magiceden.io/item-details/9fWyNe7qFtK1tmsdwe2DWz4KFKPB8wDicFNSN1hQB4TC,Papaya Whip,Yellow,Light Blue Shirt,HBD,Beach,
3642,5.5,905,85.66,https://magiceden.io/item-details/8Jva2mER2SPqtm9CXvf6Y2o9Aab5Vxk2iRhPoPk3kMLb,Rose Pink,Green,Pink Strapped Dress,Cat Eye Sunglasses,Frog,
3720,5.34355,1767,80.33,https://magiceden.io/item-details/DN8pDb3BPJiW89EEWHejHhYVkuyKvWXfhjNezc5psbZ1,Pale Lavender,Pink,Yellow Blouse,Mask,Posh Pink Hair,
3722,6.69,94,80.25,https://magiceden.io/item-details/6W3oEiCKWG1HYs7SzQAkiE1WFGvHoTB4M5qL2HQ6xxJG,Nyanza,Yellow,Pink Puff Sleeve Shirt,Diva,Cold Day,
3742,20,60,0,https://solanart.io/search/?token=9TigDEdpQiaaHiBAcN7veMfD6fMCMcPRBrUBw9u43LV9,Purple,Gold,Yellow Dress,Bear,Witch Hat,
3771,4.8,1584,87.23,https://magiceden.io/item-details/GamDZqd5b1MuWiAuSqzQHPpNTCWHAbwxAWFy3Z6iNMU2,Blue,Blue,Light Blue Tech Fleece,Smile,Cold Day,
3868,5,1210,88.22,https://magiceden.io/item-details/A5ksM8DTchx9198fvmWnGeUSx8QRtQxhy2dLBDyDVEJK,Papaya Whip,Orange,Yellow Cloak,Cat Eye Sunglasses,Short Hair,
3916,4.85,1209,89.73,https://magiceden.io/item-details/Gm1i4B4qhARHrTjbZAVbXPDkX28aox4YuKvkL99oHuka,Blue,Green,Light Blue Tech Fleece,Feather Sunglasses,Short Hair,
3918,4.9,3338,72.2,https://magiceden.io/item-details/EELWgymrbPdNoikSf4LFE1QsMeL1LYrnHw6a69Tv7U82,Aero Blue,Green,Light Blue Shirt,Wink,None,
3962,6.5,227,81.08,https://magiceden.io/item-details/2hNzz7ajXNQQgWHqEMtjrB8qFNKJfMEZKEPs4FrvkLzE,Aero Blue,Pink,Brown Puff Sleeve Dress,Diva,Orange Hair,
3999,4.85,1656,86.15,https://magiceden.io/item-details/3NXSe58ZkCZHcghaLeGM63L3SrKXmzksq2hNHDdnU9AU,Pink,Orange,Dark Brown Strapped Dress,Mask,Beach,
4047,5.7,1169,81.55,https://magiceden.io/item-details/FgEfcpLMsDpCEsY54PBAjyC7WDTXne7QANphkAUJ4q82,Aero Blue,Blue,Green Yellow Button Shirt,HBD,Picnic,
4077,5.99,3598,59.22,https://magiceden.io/item-details/74Brrchu2tDzgxfk5JaYXchvSjaDq5fPw7JxubDNG9up,Purple,Pink,Light Brown Strapless Dress,Feather Sunglasses,None,
4121,6.75,748,74.42,https://magiceden.io/item-details/8TP53PfURbdd4TJqMbnJ4AiXrrPBVoPdwsnRSu7JFTa7,Nyanza,Confetti,Yellow Blouse,Mask,Axoloti,
4130,5.98,3265,61.98,https://magiceden.io/item-details/9L1CSBHeL2Y5ypjDCeW9EiLuB86Va7QAXfrqgCN9Ts8W,Pale Lavender,Pink,Denim Button Shirt,Tongue Out,None,
4166,4.85,3795,69.04,https://magiceden.io/item-details/8JUe1rh5hCofxDC47QmjVTcN4YWqbF8uNvN7Vc1bGVvc,Papaya Whip,Yellow,Purple Blouse,Feather Sunglasses,None,
4174,4.848,3290,73.1,https://magiceden.io/item-details/656xcyJd1kgaoeig1CkrJVw4PVUoH1Ct4mHdedRbNA51,Aero Blue,Blue,Brown Puff Sleeve Dress,Heart Shaped Sunglasses,None,
4199,4.85,3305,72.96,https://magiceden.io/item-details/GBrKP7LUgEyMxZoyLWZVgvY9h5WTQ2LP4rmjAoa53nCA,Nyanza,Purple,Grey Button Shirt,Wink,None,
4262,6,190,86.38,https://magiceden.io/item-details/C9kHc43ifoGCyjfRmCxaDv9ZuYzo5j91Zh978gsegghX,Blue,Yellow,Light Blue Shirt,Wink,Frog,
4338,5.5,1272,82.72,https://magiceden.io/item-details/J4184ZDxGaKBTKiMHnhEsqFVDvyXmRHSHua4NXbppRgz,Light Cyan,Purple,Light Grey Tunic,Feather Sunglasses,Orange Hair,
4393,6,3702,58.28,https://magiceden.io/item-details/CKZZ4m2aPEHNFwRcN5buuDZKZQtWaFBcjk46VEojwBLU,Papaya Whip,Blue,Light Brown Strapped Dress,Onigiri Earrings,None,
4522,5.8,390,86.78,https://magiceden.io/item-details/7Jo4QLQ5Tjpa2ozTXbetLtjVZXc5vphQPZr7Dwp7sFLw,Aero Blue,Red,Pink Cloak,Lollipop,Hot Day,
4523,5.4,711,88.21,https://magiceden.io/item-details/7mFFYsBwa8w6RWHkNeSFarA8QE2e9EhYvad7D9pqT1ti,Pale Lavender,Green,Yellow Cloak,Lollipop,HBD,
4605,5.8,441,86.37,https://magiceden.io/item-details/5a4F9Wq9aZFeH5GDxLPU4BR6oEjeGz3NSGaSSnyvo6Jp,Pink,Purple,Beige Sweater Vest,Twinkle,HBD,
4624,10,3216,22.17,https://solanart.io/search/?token=8a4qY8Jaa1HfYCGeMwXztniSskaEjUhF3wamemtV9EfQ,Pink,Red,Quilted Sweater,Mask,HBD,
4667,6,226,86.09,https://magiceden.io/item-details/AEvzxciTjc4GrTjSsB1dWeFk25AswcG6K88UzFFUXKmA,Papaya Whip,Gold,Light Grey Tunic,Heart Shaped Sunglasses,Frog,
4743,6.5,3726,53.09,https://magiceden.io/item-details/HCiZdg1g89eSKMTBB4TXfXDgNDiEefmWgtmCY9rZ7tex,Light Cyan,Blue,Light Brown Strapless Dress,Earpods,None,
4750,5,3993,65.96,https://magiceden.io/item-details/y1fgaHKp4sqsLPhrYCo4HqkYN1MHSnu9aR4MWFAMq7s,Rose Pink,Pink,Purple Blouse,Bread,None,
4770,4.85,3831,68.75,https://magiceden.io/item-details/DXkZ5NKVGGrFLU1DrxPN3BjwDR4u8MbDdDzgZ5hCtoHA,Rose Pink,Pink,Yellow Dress,Bread,None,
4846,4.849,3727,69.59,https://magiceden.io/item-details/44qwVK7x4DDNz1Tskygtih1v9GHhof4mpNmMavPrZ9CF,Dark Blue,Green,Grey Button Shirt,Earpods,None,
4858,4.8,3846,69.13,https://magiceden.io/item-details/7FDnQQpZW7ahYXhjuQsobtBP6szosbCWC1wuKygYyGVD,Pink,Yellow,Quilted Sweater,Bread,None,
4860,5.89,3822,58.42,https://magiceden.io/item-details/H15QMMAFDCGvjr6i1PjEkGKFXVCfTDsoAzwYtWcUPhQu,Pink,Pink,White Dress,Bread,None,
4864,5,3880,66.86,https://magiceden.io/item-details/ETnjCXiYHPazAjF6iHYxeFh8h1QkoQkfSbQfa9GSVZgf,Aero Blue,Purple,Quilted Sweater,Bread,None,
4957,4.93,3562,70.1,https://magiceden.io/item-details/8nW6TcH4Z9nUngvfFiZz4GbDm2NZowMChgGXgaPam6Tu,Nyanza,Orange,Dark Brown Strapped Dress,Bread,None,
4982,4.85,3839,68.69,https://magiceden.io/item-details/83NComXqTxgzGjvRWSFqbGNy46coMJ7DsF8m6UDCXSB9,Light Cyan,Blue,Green Yellow Button Shirt,Earpods,None,
4990,5,3927,66.48,https://magiceden.io/item-details/AHUaW4BcYdNPBAzrQYRCMK5cXwwDxzzYMAtpiutLGePP,Pale Lavender,Purple,Yellow Blouse,Earpods,None,
