id,price,moonRank,💎 score (%),storeURL,Background,Body,Eyes,Face,Hat,Outfit
817,70,4948,0,https://solanart.io/search/?token=7AgTQuhWaRz2st9GWLMnvpjEz7Z1gKZ5WRgHTUi3LgSR,Watercolor,Purple Tryptamine,3D Glasses,Solana Quiet,White Bucket,Mad Hatter
829,26.9,6651,0,https://solanart.io/search/?token=E1S88QX9mbsn3yRXzYfdFqhodtDVW2ST1G4nbHSD3HyF,Lava Green,Marble,420 Glasses,Ten Strip,Cap,I _3 Chorles
834,398.880005,128,0,https://solanart.io/search/?token=4KPtYShUec5Drf3UwxacDpMzbjA3AnENFHBHKFxf4BJm,Dark Shroom,XRay,Orange Hypno,XRay Shout,Apesolem,Mad Hatter
846,65,3713,0,https://solanart.io/search/?token=bQPiqRN5p7YpqXR1JhHwEbCmHEWdXVrzhqYVP4xqUPD,Watercolor,Drippy Pink,Laser Eyes,Snarl,Beanie,Paisley Suit
854,40,2789,0,https://solanart.io/search/?token=6MXgEoQooMGxNU5VM9YyvnQAVsHTXmp7UA2ZM5m6KuT,Blue Tryptamine,Drippy Radioactive,Stoned,Cig,White Bucket,Purple Tank
864,99.900002,1310,0,https://solanart.io/search/?token=44ru81ATRzGBoHUodsupgiobiXWJKzjeDGqfDwgaZiAU,Lava Green,Infrared Trypophobia,Pit Vipers,Snarl,Apesolem,TyeDye
918,39.18,2382,0,https://solanart.io/search/?token=8k6HQtixU4SsSK27ZTk34hq5o25E6aZuq1NNWBYvoA93,Cotton Candy,Gummy,Rainbow Bliss,Pipe,Field Hat,Mad Scientist
967,88,8594,0,https://solanart.io/search/?token=CUZuPxg28cHYD8cQgjEdEx8XmQVuJngxiVcriQb1Uc14,Beige,Phoenix,Alert Red,Shout,Headband,I _3 Chorles
986,69,5183,0,https://solanart.io/search/?token=iBXYiZQL5hHAX6EVW46pncj7PidfA5TAEan4sJvUaEQ,Sky Blue,DMTree,Spaced Out,Gold Grill,Headband,Coogi
1038,107,1801,0,https://solanart.io/search/?token=41A7sJ43hAwTU8gku8Ea1VEimvoqRg77Ljs4fpeDRHwp,Beige,Drippy Blue,Orange Slices,Tats,Valhalla Helm,Bat Country
1049,33.330002,2697,0,https://solanart.io/search/?token=3G41PmHmS5vva9zNZDGegCpeRmnKXTNZQ99oS3XryhtT,Purple Swirl,Purple Paranoia,Rainbow Shades,Tats,Solar System,Tribal
1156,82,991,0,https://solanart.io/search/?token=NtQjMAMMpsYURPyPPgS9de4RYiMxLNe2zuwq9f2Txoz,Red Tryptamine,Inferno Trypophobia,Aviators,Solana Quiet,,Mad Hatter
1162,68,7644,0,https://solanart.io/search/?token=E6vbYd77r8wE2XfGjVfnyBdh5pVmMTp6do2TUmo6bh6t,Light,Gold,Wired,Acid Tab,Beanie,I _3 Chorles
1174,111,7511,0,https://solanart.io/search/?token=8hzMCrx1bMajy7zzYE7aWiA6n3FNdonRqm56CVCuLgV7,Lava Green,Drippy Pink,Alert Red,Pipe,Fedora,Blue Tank
1181,522,5908,0,https://solanart.io/search/?token=2tVpzsDN9CniTfczHLNSnpqiTLYxm6BavdPZkYeCKJdT,Cloudy Orange,Inferno Trypophobia,Holy F_k,Quiet,Cap,Groovy Blue
1191,84,5966,0,https://solanart.io/search/?token=EpVhqJ2EecaCW4hQRnKkXtqKVnvPtNNDMRJX4y8d78uX,Lime,Marble,Alert Blue,Balloon Purple,Octopus,Bat Country
1227,42.790001,6534,0,https://solanart.io/search/?token=F58zR3DAHo9Supqvsk6tGstfYX6pKaHumJSEj8tbevBn,Red Circles,Marble,Rainbow Bliss,Eyeball,Banana Split,Tribal
1235,40,641,0,https://solanart.io/search/?token=8gKsVxoN89GN34UourH8Jn8VrvBvDacJ5eCGUjpmHoU,Lime,Infrared Trypophobia,Shroom Lennons,Rainbow Vomit,White Bucket,Tux Shirt
1237,25,7216,11,https://solanart.io/search/?token=AnUncDBGnhdNVRdb4ymyohPduEZ8sTKLWmVy6QnZiQjM,Dark Shroom,Drippy Blue,Rainbow Bliss,Tats,Headband,I _3 Chorles
1249,69,4370,0,https://solanart.io/search/?token=5opyDbh8oBr3emutQU3EJMfEGhw2fZpWnDwjrBWSmzDT,Dark Shroom,Drippy Blue,Rainbow Bliss,Balloon Red,White Bucket,Birthday Suit
1252,30,4777,0,https://solanart.io/search/?token=FHgRh4Wt18WWnqYF4Ckds6WboYgp49t2y28AWrS1GEGA,Lilac,Marble,Pit Vipers,Tats,,Patchwork Denim
1271,69,2921,0,https://solanart.io/search/?token=92Loj6B5xSF3gSQatY5YnsUPtrKZaLWBb2Jh5xsKGndG,Watercolor,DMTree,Spaced Out,Acid Tab,Field Hat,Varsity
1286,66,909,0,https://solanart.io/search/?token=7MQotpmZiYwcf2UVXkgNBKchefCsmdunZJiEJNpBywwA,Green Flower,Drippy Blue,Laser Eyes,Quiet,Mohawk,Scarf
1289,34.900002,7381,0,https://solanart.io/search/?token=yqpiM8yMANXNqrj9yQYo1jsMWbkm4Y6GfqkRWuhR3dd,Sky Blue,Inferno Trypophobia,Wired,Eyeball,Valhalla Helm,Groovy Green
1301,28,4280,0,https://solanart.io/search/?token=HGpcE82oYDvB9hiPvJVufLDhMUY7SjziHP93qp355Eru,Lava Green,Gummy,Wired,Eyeball,Shroom Cap,Coogi
1304,79.690002,339,0,https://solanart.io/search/?token=ENUUzNG6gpvCJvPbZr91Usj1pyHzBa9oaZCmNriZLKV7,Dark Shroom,Drippy Sol,Blue Hypno,Solana Shout,Headband,Brown Robe
1330,28,1414,4.24,https://solanart.io/search/?token=Absi1Gx8ahtxzTfEQiP4GnDAjdHCGiY8hW7xiA2KR8ZV,Lava Purple,Inferno Trypophobia,420 Glasses,Fangs,White Bucket,Scarf
1339,70,269,0,https://solanart.io/search/?token=361ACLxgcpS1XiDW2uH3h3JvmiihubTF78Kbb8ZPhHTj,Lilac,Skelly,Scuba Glasses,Skull Shout,Solar System,Coogi
1359,36,9342,0,https://solanart.io/search/?token=2YaENe6hiptKf1YxSjN23kfUz8xhiUWJtK36qTm2Nth4,Cloudy Orange,Marble,Blue Shades,Quiet,,White Robe
1365,24,1638,43.34,https://solanart.io/search/?token=G1efC7Yx6HAyiTewZZGMS4tAas2LwCSPbXN6cv69QMFV,Mulberry Shroom,Gummy,420 Glasses,Gold Grill,Mind Blown,Varsity
1387,150,4194,0,https://solanart.io/search/?token=3m8KsSnfSzXdGxQs4PJW1WgsZT5DUXCe2oGzBXcSQDL2,Light,Feathers,Alert Blue,J,Valhalla Helm,Blue Tank
1419,26.998899,4510,1.85,https://solanart.io/search/?token=GjTrKHoiVbF66gyzRTueLcrPpUxaTgtgcuYKjX4UTUGd,Dark Shroom,Blue Tryptamine,Blue Hypno,Gold Grill,Third Eye,Purple Tank
1434,80,7227,0,https://solanart.io/search/?token=DaiUok72WdN8iXiKVmE7mnXaSkaKJmK8fpFjkQhjRCzC,Cotton Candy,Purple Tryptamine,Rainbow Bliss,Shout,Third Eye,Patchwork Denim
1444,129,692,0,https://solanart.io/search/?token=DrnU2PaSW3u7LhvTseUsVCTm1mL59fxjZFsTYvtUbT9i,Cotton Candy,Skelly,Aviators,Skull Quiet,Paisley Cowboy,Hoodie
1447,65,2352,0,https://solanart.io/search/?token=5ab7ZwqAbJtDP8tLLKqXozFGrFZJzgEyCNCH93k4so38,Mulberry Shroom,Drippy Pink,Alert Red,Acid Tab,Crown,Suspenders
1506,37,2198,0,https://solanart.io/search/?token=2yYzft371dG3xWn5eUzrmQQRj3LuKNKpv4DTcDjHgjeg,Red Circles,Drippy Pink,Pit Vipers,Tats,White Bucket,Hoodie
1529,32,655,0,https://solanart.io/search/?token=Hwf3WsYasXBLPKx8u8ZQzh5UZH73DE9H9DdYPatFBrn2,Green Flower,DMTree,Pit Vipers,Gold Grill,Field Hat,Blue Tank
1539,48.880001,5244,0,https://solanart.io/search/?token=8kJ4F6hwDcZ6QWxW1u4xEbWcXUszDE4bLJdjKPcZJhcn,Pink Circles,Marble,Blue Shades,Eyeball,Fedora,Psychonaut
1542,39,1572,0,https://solanart.io/search/?token=Fgjb6Dcs62HJCjZrUrntongGXbgEFoaa723Rm9wru2La,Light,Inferno Trypophobia,Aviators,J,Paisley Cowboy,Black Robe
1550,20.49,7702,54.15,https://solanart.io/search/?token=FCYZjGhJ9PBvj4xgaC747FDDiU1F5Nh3WtMEPDFQSmpt,Beige,Swirls,Rainbow Shades,Shout,Paisley Cowboy,Hoodie
1570,20,9511,51.81,https://solanart.io/search/?token=H19LuDHLWNUUX7Ug8xgnY9ybfKkq9Dqu6BYKNrSmBDwa,Beige,Drippy Blue,Sus,Tats,,I _3 Chorles
1595,42.889999,6093,0,https://solanart.io/search/?token=4vQgYUtrjtb3PB2ewD11EBTPP3sMmYzz9NNPeaqbCSp9,Light,Purple Paranoia,420 Glasses,Quiet,Beanie,Butterflies
1603,30,912,0,https://solanart.io/search/?token=4Uxrp3AJASZdG8EPrEwoabqk3N76ib2LW2a1nnVnsMbf,Peach,Skelly,Blue Shades,Skull Quiet,Cap,Butterflies
1609,20,4919,70.2,https://solanart.io/search/?token=FcicQY31xhGe3FG3gkcty3ZpaVg4g3BywfFhXp5H8yFA,Cloudy Orange,Purple Tryptamine,Blue Swirl,Fangs,Third Eye,Patchwork Denim
1651,49,1687,0,https://solanart.io/search/?token=5hChxncSVQMQXaJ9DXb93fVxfrBLSWW5f4HBgC78D8vC,Watercolor,Gummy,Blue Shades,Pizza,Banana Split,Hoodie
1660,19.9,8431,57.13,https://solanart.io/search/?token=4rSLEv6q2pGYcNYKBaqz5VSx7Voz4ZkcZNApAxhXDjHN,Watercolor,Blue Tryptamine,Blue Shades,Eyeball,Mohawk,White Robe
1671,150,6086,0,https://solanart.io/search/?token=8AgFN4kePdditj5ceTzU7RszBY3daxzaMSvYDDgwjmcT,Cotton Candy,Drippy Pink,Pop Out,Acid Tab,Mohawk,Mad Hatter
1725,30,1156,0,https://solanart.io/search/?token=F74UU1wVPUkeF9XkXjpjdirYgzYW3vzB2QWWcZgfWHR9,Lime,Inferno Trypophobia,Aviators,Pizza,Solar System,Suspenders
1728,20,5813,66.62,https://solanart.io/search/?token=8GAqX5cus8iSDdu3rNv1dTGSV2cZqvnKXT6kuJWYcJBs,Beige,Swirls,Fire,Eyeball,Field Hat,Mad Hatter
1745,100,607,0,https://solanart.io/search/?token=FnrTD3LR5qYx7t1R155hzSXkaYSMSFbwH8fQ5drwyuBE,Sunset,Skelly,Alert Red,Skull Quiet,Solar System,Patchwork Denim
1795,23.777,2899,40.52,https://solanart.io/search/?token=9JegZgVBkpzN4hdGWxtC43kqA9KyfGDuEXmafU8oq3Ns,Peach,Infrared Trypophobia,Holy F_k,Snarl,Octopus,Black Robe
1822,45,2601,0,https://solanart.io/search/?token=9h3FiMLWme8WgQADWiDrM8TYvT7WRZrEch2waDhiUGpe,Purple,Phoenix,Wired,J,Field Hat,Black Robe
1835,41.990002,521,0,https://solanart.io/search/?token=95gWMmxTGN9LmKY1voSBnuSr12PizLMSsjrFMWsh3x4U,Lava Purple,Shroomin,Stoned,Eyeball,Banana Split,Brown Robe
1845,29.5,6109,0,https://solanart.io/search/?token=9JxYux8UK842SPco2wCDBWqxDLjBKTzTKJumGN7qhzu3,Cotton Candy,Marble,420 Glasses,Acid Tab,Banana Split,Hoodie
1857,23,8908,24.22,https://solanart.io/search/?token=4KgqNLcT4dBTrrmB5QLtmQPr99iaY2Sm3JTgzsAyfN4A,Lime,Drippy Pink,Wired,Shout,Field Hat,Purple Tank
1869,27,4004,3.86,https://solanart.io/search/?token=xpL4NXAfabCQrihz8V6R3TN1AtpsMwFVCMAUNGfzyBj,Lava Purple,Marble,Sus,J,Fedora,Bat Country
1871,70,7925,0,https://solanart.io/search/?token=4D6FvX7bd1LWbCkWv2iom476CpaMCx13JEKS2p1GASbE,Orange Shroom,Drippy Pink,Alert Blue,Snarl,Headband,Purple Tank
1901,70,471,0,https://solanart.io/search/?token=H5SB8f2tBAiL1brMbJjaqpd4WMx3oBUU3jKXnEUtyoBp,Sky Blue,Skelly,Blue Swirl,Skull Quiet,Mad Hatter,Tux Shirt
1903,84,6909,0,https://solanart.io/search/?token=G7pfEnuQgjxqmsNYYx1pferQV69tMSZrhJcnhAXPULrA,Lilac,Purple Tryptamine,Aviators,Eyeballs,Cap,Groovy Green
1924,160,7281,0,https://solanart.io/search/?token=CC7QgCDekTkoRPSnYwrMS2Qww92uLCwazddYR22W16V1,Cloudy Orange,Marble,Alert Red,Snarl,Valhalla Helm,Scarf
1998,77,3856,0,https://solanart.io/search/?token=9CQDvAE5qxs7Gq5PAHPCz5FmkQyDDfu68tpaZNsRAHco,Mint,Blue Tryptamine,3D Glasses,Diamond Grill,Octopus,Groovy Blue
2003,68.879997,7869,0,https://solanart.io/search/?token=FbDqt28bB6Gx94mnETbS4DwJkDMqn4devhhwCqPXUaPR,Cotton Candy,Purple Tryptamine,Blue Shades,Shout,Third Eye,Paisley Suit
2028,50,1346,0,https://solanart.io/search/?token=DCrJjG8isHHhrWQyzcsxwLEaMxmTvgzURJ6jRWhuFm5,Light,Diamond,Scuba Glasses,Acid Tab,Banana Split,Tux Shirt
2032,50,3201,0,https://solanart.io/search/?token=CwFgbo77iWrV9Ucc7dpmRfecaH8pJZDWYTbLkq6qNXti,Orange Shroom,Diamond,Holy F_k,Shout,Beanie,Tribal
2048,42,1828,0,https://solanart.io/search/?token=HKzLbn66js3srgyVhC4jZApNKHLj5vkYYveiJbNahaZn,Lava Purple,Drippy Pink,Alert Blue,Face Melt,Cap,White Rabbit
2061,177,372,0,https://solanart.io/search/?token=6YWoYRPGWmFHrFzeD8JPL87UuzZRYa9Vkx6hZ3VEvw8N,Lava Green,Blue Paranoia,Rainbow Madness,Shroom,Third Eye,Black Robe
2064,33.299999,9091,0,https://solanart.io/search/?token=HzH8rHZqTq3FXkH6qpb4HBNQAdze2j3mUYryND2Ermj6,Sky Blue,Swirls,Blue Shades,Eyeball,Valhalla Helm,Tribal
2079,79,7704,0,https://solanart.io/search/?token=84P35jLS5MHmcNuZUYCoEnaJx4Zsa77xiWQGhsbUpVmQ,Peach,Blue Tryptamine,Wired,Shroom,,Groovy Green
2080,23,9659,21.21,https://solanart.io/search/?token=FPDPAQ5b37voZWhQoFXo4nMzAQYMQo7FkpRYsuyrhBjx,Cotton Candy,Swirls,Spaced Out,Quiet,,Groovy Green
2092,42.119999,2430,0,https://solanart.io/search/?token=AGL2d3RtoAZHZUxB6NposuSqvXjprYq74BuvB92TFAg,Beige,XRay,Alert Blue,XRay Quiet,,Tribal
2124,27.9,3859,0,https://solanart.io/search/?token=Y1cJ2nppqz5qcZtzu4sjmT1mXcJGCZbPp6aVxzTMEbL,Light,Purple Paranoia,Sus,Tats,White Bucket,Scarf
2175,80.420692,2310,0,https://solanart.io/search/?token=7HNn38SzNt6syfDA3ejRUnKgwUCAoAfbAdLuSxbNCS1C,Watercolor,Gold,Sus,Balloon Red,Valhalla Helm,Varsity
2185,26.9,6121,0,https://solanart.io/search/?token=8RBpfGFDLA4DJ4Bp1Y4QLyyxDQN4EjgyXpGJD5EoVU9G,Beige,Purple Tryptamine,Aviators,Shroom,White Bucket,Mad Hatter
2187,169,137,0,https://solanart.io/search/?token=Fr6cYkH51w2ph1xQw8kPkv1RJbtr9SC8E5rkMmccyvp7,Orange Shroom,Infrared Trypophobia,Electric,Trippy Grill,Crown,Tribal
2223,40,4488,0,https://solanart.io/search/?token=3PVQTgiRrCQCHaP17SPhdAsYaC5HXDCUb1AJjfousqMj,Lilac,Diamond,Alert Blue,Shout,Valhalla Helm,Kimono
2263,269.696899,6289,0,https://solanart.io/search/?token=8CeJnCcjqxFH4K7Mx7YcbbedzkDnp7cqwmcbs42WYfLh,Purple,Drippy Blue,3D Glasses,Fangs,Mohawk,Bat Country
2276,27,6539,0,https://solanart.io/search/?token=VksEU6FtL92P9s98wMGYXyP8YiM6hnQYtC26Z6cFNSR,Light,DMTree,Alert Blue,Shout,,Coogi
2290,699,160,0,https://solanart.io/search/?token=9TJpqEoJbYVb8QatRuV5eVxqzx1tBqVZnDrs39LNET5A,Cloudy Orange,Skelly,Pit Vipers,Skull Shout,Banana Split,Black Robe
2319,35,4413,0,https://solanart.io/search/?token=5VSrPJGEf5tPSd6fnkkh5mDR6EkJtrwC6WRTBbAaboFF,Peach,Infrared Trypophobia,Stoned,Eyeball,Mohawk,Hoodie
2328,78,8427,0,https://solanart.io/search/?token=BLLSntx3GKkMnUUeaNhN9K949gGVH7bAnDicq1A6AFPx,Cotton Candy,Marble,Alert Blue,Pipe,Shroom Cap,Blue Tank
2333,23.5,2922,43.2,https://solanart.io/search/?token=GSWPGmZMXxpjvGTbxn14p6MBmno27WUv2bL88J9GAscd,Watercolor,Blue Paranoia,Rainbow Shades,Face Melt,White Bucket,Black Robe
2350,22.219999,5678,44.96,https://solanart.io/search/?token=3fcQiFTdrsCtGFLMXZrUD4H6RJT5mPnkRtohJXh3sGr4,Purple,Drippy Sol,Spaced Out,Shout,Solar System,Bat Country
2355,82,6391,0,https://solanart.io/search/?token=7GKS91hGPaHByofXSdb9U5vFTCLY1YF28YiBihnLJGFy,Purple,Marble,Pop Out,Cig,Solar System,Tux Shirt
2359,72,8896,0,https://solanart.io/search/?token=4WyTB5AHyaRv5PY8Hsjjkmp5Nbsx3EJTC8ajcWRKE3eb,Purple,Purple Tryptamine,Alert Blue,Cig,Paisley Cowboy,Coogi
2366,29,8378,0,https://solanart.io/search/?token=J76rXUyhP9bG3fv6z4GyQfAJRcvoZVBs1YyzeAjjEtZL,Lilac,Swirls,420 Glasses,Shout,Mind Blown,Groovy Blue
2369,24,2426,40.18,https://solanart.io/search/?token=9JuxVcEuSR6rKegTEZJA2kdnWAxsYkUPY9ymQ2ZdHpcS,Sand,Drippy Blue,Wired,Solana Quiet,Banana Split,Blue Tank
